technique|||speed|||flexibility|||power|||endurance|||defense
オシリス神|||4.0|||3.0|||4.0|||3.0|||1.0|||1.0
ホルス神|||4.0|||5.0|||5.0|||4.0|||2.0|||4.0
アトゥム神|||5.0|||3.0|||3.0|||3.0|||1.0|||1.0
ケニーＧのスタンド|||6.0|||1.0|||5.0|||1.0|||1.0|||1.0
ヴァニラ・アイスのスタンド|||6.0|||4.0|||3.0|||3.0|||5.0|||5.0
世界(ザ・ワールド)|||6.0|||5.0|||5.0|||5.0|||5.0|||3.0
スタープラチナ(ＤＩＯ戦後)|||6.0|||5.0|||5.0|||5.0|||5.0|||2.0
クレイジー・ダイヤモンド|||4.0|||5.0|||4.0|||5.0|||5.0|||3.0
アクア・ネックレス|||4.0|||4.0|||5.0|||2.0|||3.0|||5.0
ザ・ハンド|||5.0|||3.0|||1.0|||4.0|||5.0|||3.0
バッド・カンパニー|||4.0|||4.0|||4.0|||4.0|||4.0|||5.0
ザ・ロック|||4.0|||3.0|||3.0|||1.0|||4.0|||5.0
エコーズ|||6.0|||5.0|||5.0|||2.0|||3.0|||3.0
エコーズＡＣＴ１|||4.0|||1.0|||4.0|||1.0|||3.0|||3.0
サーフィス|||4.0|||5.0|||4.0|||3.0|||3.0|||4.0
ラブ・デラックス|||4.0|||3.0|||3.0|||4.0|||4.0|||4.0
エコーズＡＣＴ２|||5.0|||4.0|||4.0|||1.0|||3.0|||3.0
パール・ジャム|||5.0|||3.0|||3.0|||1.0|||4.0|||1.0
レッド・ホット・チリ・ペッパー|||4.0|||6.0|||4.0|||4.0|||4.0|||3.0
アクトン・ベイビー|||4.0|||2.0|||4.0|||1.0|||1.0|||3.0
ヘブンズ・ドアー|||5.0|||5.0|||4.0|||1.0|||3.0|||1.0
ラット|||4.0|||4.0|||5.0|||5.0|||2.0|||1.0
ハーヴェスト|||4.0|||5.0|||4.0|||3.0|||5.0|||4.0
キラークイーン|||5.0|||3.0|||5.0|||4.0|||3.0|||3.0
シンデレラ|||5.0|||4.0|||3.0|||1.0|||4.0|||1.0
シアーハートアタック|||5.0|||3.0|||1.0|||5.0|||6.0|||6.0
エコーズＡＣＴ３|||5.0|||5.0|||4.0|||2.0|||3.0|||3.0
アトム・ハート・ファーザー|||5.0|||4.0|||5.0|||2.0|||3.0|||5.0
ボーイ・II・マン|||5.0|||3.0|||4.0|||3.0|||3.0|||3.0
ハイウェイ・スター|||5.0|||4.0|||4.0|||3.0|||4.0|||4.0
ストレイキャット|||4.0|||4.0|||5.0|||4.0|||4.0|||5.0
スーパーフライ|||2.0|||4.0|||4.0|||4.0|||6.0|||6.0
エニグマ|||5.0|||5.0|||4.0|||1.0|||3.0|||3.0
チープ・トリック|||5.0|||2.0|||3.0|||1.0|||3.0|||5.0
バイツァ・ダスト|||6.0|||5.0|||3.0|||1.0|||3.0|||6.0
ゴールド・エクスペリエンス|||5.0|||4.0|||5.0|||3.0|||5.0|||4.0
スティッキィー・フィンガーズ|||4.0|||5.0|||5.0|||4.0|||5.0|||4.0
ブラック・サバス|||4.0|||5.0|||1.0|||5.0|||2.0|||4.0
ムーディー・ブルース|||5.0|||3.0|||4.0|||3.0|||4.0|||2.0
ソフト・マシーン|||4.0|||2.0|||3.0|||5.0|||3.0|||4.0
セックス・ピストルズ|||5.0|||4.0|||4.0|||1.0|||5.0|||2.0
クラフト・ワーク|||4.0|||4.0|||4.0|||3.0|||5.0|||4.0
エアロスミス|||4.0|||3.0|||3.0|||5.0|||4.0|||3.0
リトル・フィート|||4.0|||2.0|||4.0|||2.0|||5.0|||4.0
パープル・ヘイズ|||4.0|||3.0|||4.0|||5.0|||4.0|||3.0
マン・イン・ザ・ミラー|||5.0|||3.0|||4.0|||3.0|||4.0|||5.0
亀のスタンド|||5.0|||1.0|||3.0|||1.0|||4.0|||4.0
ビーチ・ボーイ|||4.0|||3.0|||4.0|||3.0|||4.0|||4.0
グレイトフル・デッド|||4.0|||3.0|||5.0|||3.0|||6.0|||3.0
ベイビィ・フェイス|||5.0|||3.0|||2.0|||5.0|||5.0|||5.0
ホワイト・アルバム|||5.0|||4.0|||3.0|||4.0|||4.0|||6.0
キング･クリムゾン|||6.0|||5.0|||4.0|||5.0|||5.0|||4.0
クラッシュ|||4.0|||5.0|||4.0|||2.0|||4.0|||3.0
トーキング･ヘッド|||4.0|||4.0|||5.0|||2.0|||3.0|||1.0
ノトーリアス･Ｂ･Ｉ･Ｇ|||5.0|||5.0|||1.0|||5.0|||6.0|||4.0
メタリカ|||5.0|||4.0|||5.0|||3.0|||5.0|||3.0
グリーン･ディ|||5.0|||3.0|||5.0|||3.0|||6.0|||4.0
オアシス|||4.0|||5.0|||3.0|||5.0|||5.0|||4.0
ローリング･ストーンズ|||6.0|||3.0|||1.0|||2.0|||4.0|||4.0
ストーン･フリー|||4.0|||5.0|||5.0|||4.0|||4.0|||4.0
グーグー･ドールズ|||4.0|||3.0|||4.0|||3.0|||3.0|||3.0
マンハッタン･トランスファー|||5.0|||5.0|||4.0|||1.0|||4.0|||4.0
ホワイトスネイク|||5.0|||4.0|||5.0|||4.0|||4.0|||4.0
キッス(ザ･キッス)|||3.0|||4.0|||4.0|||4.0|||4.0|||4.0
バーニング･ダウン･ザ･ハウス|||5.0|||3.0|||5.0|||1.0|||3.0|||5.0
ハイウェイ･トゥ･ヘル|||4.0|||3.0|||1.0|||3.0|||5.0|||1.0
フー･ファイターズ|||4.0|||5.0|||5.0|||3.0|||5.0|||2.0
マリリン･マンソン|||4.0|||3.0|||3.0|||3.0|||5.0|||6.0
ウェザー･リポート|||5.0|||4.0|||5.0|||4.0|||5.0|||4.0
ジャンピン･ジャック･フラッシュ|||4.0|||4.0|||4.0|||3.0|||4.0|||4.0
リンプ･ビズキット|||5.0|||3.0|||3.0|||5.0|||5.0|||5.0
サバイバー|||2.0|||1.0|||1.0|||1.0|||1.0|||1.0
プラネット･ウェイブス(アース･ウィンド･アンド･ファイヤー？)|||5.0|||4.0|||2.0|||5.0|||5.0|||3.0
ドラゴンズ･ドリーム|||6.0|||5.0|||4.0|||1.0|||5.0|||6.0
ヨーヨーマッ|||4.0|||2.0|||3.0|||3.0|||6.0|||6.0
緑色の赤ちゃんのスタンド|||5.0|||3.0|||4.0|||3.0|||3.0|||6.0
ボヘミアン･ラプソディー|||6.0|||3.0|||1.0|||3.0|||1.0|||5.0
スカイ･ハイ|||5.0|||5.0|||5.0|||2.0|||4.0|||3.0
アンダー･ワールド|||5.0|||3.0|||3.0|||3.0|||3.0|||3.0
Ｃ－ＭＯＯＮ|||6.0|||3.0|||5.0|||5.0|||4.0|||4.0
ＳＴＡＩＲＷＡＹ ＴＯ ＨＥＡＶＥＮ(メイド･イン･ヘブン)|||7.0|||7.0|||5.0|||4.0|||4.0|||4.0
